Country.Region,Lat,Long,total_confirmed,total_deaths,Code
Suriname,3.9193,-56.0278,5241,113,SUR
Sweden,60.128161,18.643501,146461,6022,SWE
Switzerland,46.8182,8.2275,229222,2902,CHE
Syria,34.802075,38.996815,6284,321,SYR
Taiwan*,23.7,121,578,7,TWN
Tajikistan,38.861,71.2761,11376,83,TJK
Tanzania,-6.369028,34.888822,509,21,TZA
Thailand,15.870032,100.992541,3844,60,THA
Timor-Leste,-8.874217,125.727539,30,0,TLS
Togo,8.6195,0.8248,2523,57,TGO
Trinidad and Tobago,10.6918,-61.2225,5849,111,TTO
Tunisia,33.886917,9.537499,71569,1920,TUN
Turkey,38.9637,35.2433,396831,10972,TUR
US,40,-100,10110552,238256,USA
Uganda,1.373333,32.290275,14574,133,UGA
Ukraine,48.3794,31.1656,483153,8812,UKR
United Arab Emirates,23.424076,53.847818,143289,515,ARE
Anguilla,18.2206,-63.0686,3,0,AIA
Bermuda,32.3078,-64.7505,214,9,BMU
British Virgin Islands,18.4207,-64.64,71,1,VGB
Cayman Islands,19.3133,-81.2546,250,1,CYM
Channel Islands,49.3723,-2.3644,951,48,NA
Falkland Islands,-51.7963,-59.5236,13,0,FLK
Gibraltar,36.1408,-5.3536,805,0,GIB
Isle of Man,54.2361,-4.5481,357,25,IMN
Montserrat,16.742498,-62.187366,13,1,MSR
Turks and Caicos,21.694,-71.7979,707,6,TCA
United Kingdom,55.3781,-3.436,1213363,49238,GBR
Uruguay,-32.5228,-55.7658,3560,62,URY
Uzbekistan,41.377491,64.585262,69027,588,UZB
Venezuela,6.4238,-66.5897,95149,830,VEN
Vietnam,14.058324,108.277199,1215,35,VNM
West Bank and Gaza,31.9522,35.2332,58838,521,PSE
Western Sahara,24.2155,-12.8858,10,1,ESH
Yemen,15.552727,48.516388,2071,605,YEM
Zambia,-13.133897,27.849332,16971,349,ZMB
Zimbabwe,-19.015438,29.154857,8561,254,ZWE
Canada*,52.9399,-73.5491,272034,10620,CAN
Australia*,-31.950500,115.860500,27669,907,AUS
China*,40.182400,116.414200,86267,4634,C
